state,start,stop,fips
IN,2020/3/16,2020/5/18,18
KS,2020/3/30,2020/5/4,20
VA,2020/3/25,2020/5/29,51
IA,2020/3/17,2020/5/15,19
UT,2020/3/19,2020/5/1,49
SC,2020/3/18,2020/5/4,45
MS,2020/3/24,2020/5/7,28
ND,2020/3/20,2020/5/1,38
WA,2020/3/16,2021/12/31,53
CA,2020/3/19,2021/12/31,6
HI,2020/3/17,2020/6/5,15
WV,2020/3/18,2020/5/4,54
AK,2020/3/18,2020/4/24,2
ID,2020/3/25,2020/5/16,16
PA,2020/3/17,2020/6/5,42
LA,2020/3/17,2020/5/1,22
NH,2020/3/16,2020/5/18,33
MA,2020/3/17,2020/6/8,25
KY,2020/3/16,2020/5/22,21
WI,2020/3/17,2020/5/13,55
TX,2020/3/21,2020/5/1,48
NE,2020/4/3,2020/5/18,31
NC,2020/3/17,2020/5/22,37
NY,2020/3/16,2020/6/22,36
ME,2020/3/18,2020/6/1,23
DE,2020/3/16,2020/6/1,10
OR,2020/3/17,2020/6/19,41
MI,2020/3/16,2020/6/8,26
MO,2020/3/23,2020/5/4,29
FL,2020/3/20,2020/5/18,12
RI,2020/3/17,2020/5/18,44
WY,2020/3/19,2020/5/15,56
VT,2020/3/17,2020/5/22,50
IL,2020/3/16,2020/5/29,17
TN,2020/3/23,2020/4/27,47
NM,2020/3/19,2020/6/1,35
MT,2020/3/20,2020/5/4,30
CT,2020/3/16,2020/5/20,9
NV,2020/3/21,2020/5/9,32
GA,2020/4/3,2020/4/27,13
OH,2020/3/15,2020/5/15,39
CO,2020/3/17,2020/5/27,8
AZ,2020/3/20,2020/5/11,4
AL,2020/3/19,2020/5/11,1
MN,2020/3/17,2020/6/1,27
NJ,2020/3/16,2020/6/15,34
DC,2020/3/16,2020/5/29,11
AR,2020/3/19,2020/5/11,5
MD,2020/3/16,2020/5/29,24
OK,2020/4/1,2020/5/1,40
