Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
State,2020/01/01,33.0,NH,,,344486.0,1011972.0,4032895.0,809618.0,1001071.0,514479.0,665674.0,679377.0,247609.0,90286.0,20108.0,2674.0,1999.0
State,2020/01/01,6.0,CA,,,9219703.0,30337342.0,112606885.0,31144582.0,29578049.0,13125991.0,15443353.0,14439973.0,5553845.0,2217442.0,839553.0,174752.0,89345.0
State,2020/01/01,8.0,CO,,,1534420.0,4161144.0,18346137.0,4641274.0,4815494.0,2245883.0,2712409.0,2557101.0,807692.0,352436.0,141931.0,39387.0,32530.0
State,2020/01/01,9.0,CT,,,919958.0,2652707.0,9636627.0,2187052.0,2590850.0,1242764.0,1491090.0,1403410.0,464270.0,186371.0,49982.0,10008.0,10830.0
State,2020/01/01,10.0,DE,,,248781.0,718390.0,2665377.0,643220.0,665304.0,338814.0,432958.0,379294.0,140146.0,47470.0,15988.0,1121.0,1062.0
State,2020/01/01,11.0,DC,,,234529.0,467926.0,2425940.0,868415.0,585243.0,319818.0,357570.0,212539.0,57432.0,12097.0,5724.0,3474.0,3628.0
State,2020/01/01,12.0,FL,,,4710920.0,16588405.0,58355091.0,15076367.0,14992995.0,7535714.0,9188877.0,7830602.0,2303083.0,797282.0,446590.0,106188.0,77393.0
State,2020/01/01,13.0,GA,,,2462406.0,8057069.0,28981881.0,6603304.0,7175377.0,3648488.0,4733968.0,4352284.0,1507136.0,516277.0,316020.0,91676.0,37351.0
State,2020/01/01,15.0,HI,,,329060.0,1091431.0,3938346.0,1103676.0,1036513.0,467712.0,583461.0,630416.0,85682.0,19499.0,6574.0,2136.0,2677.0
State,2020/01/01,16.0,ID,,,439420.0,1314788.0,4590452.0,1125924.0,1286316.0,594597.0,668231.0,568821.0,195450.0,86135.0,49302.0,10790.0,4886.0
State,2020/01/01,17.0,IL,,,3384504.0,9356576.0,37803342.0,9646394.0,9711909.0,4682497.0,5772494.0,5308784.0,1796366.0,502037.0,270292.0,71448.0,41121.0
State,2020/01/01,18.0,IN,,,1672648.0,5019230.0,19271329.0,4550697.0,5002571.0,2499219.0,3072448.0,2717622.0,873932.0,334985.0,161105.0,39651.0,19099.0
State,2020/01/01,19.0,IA,,,804176.0,2351969.0,8580700.0,2037720.0,2337311.0,1047143.0,1204718.0,1160956.0,459991.0,205901.0,100619.0,18924.0,7417.0
State,2020/01/01,20.0,KS,,,739817.0,2171688.0,8216673.0,2054035.0,2202567.0,986502.0,1161474.0,1095873.0,405801.0,177576.0,99779.0,23397.0,9669.0
State,2020/01/01,21.0,KY,,,1091653.0,3376749.0,14048586.0,3132295.0,3596691.0,1923356.0,2315566.0,2021315.0,641527.0,258399.0,129384.0,22076.0,7977.0
State,2020/01/01,22.0,LA,,,1049196.0,3610782.0,13369453.0,3191523.0,3425936.0,1716009.0,2183323.0,1806420.0,613178.0,277627.0,120494.0,25442.0,9501.0
State,2020/01/01,23.0,ME,,,352823.0,985581.0,3689964.0,759508.0,922678.0,487659.0,598404.0,600554.0,215498.0,73008.0,25672.0,3921.0,3062.0
State,2020/01/01,24.0,MD,,,1479311.0,4563407.0,17292012.0,4279289.0,4204499.0,2074383.0,2744453.0,2702588.0,867968.0,258839.0,118568.0,25128.0,16297.0
State,2020/01/01,25.0,MA,,,1889214.0,5012935.0,22875415.0,5721421.0,6132160.0,2935573.0,3505950.0,3140299.0,1023506.0,292909.0,87723.0,16035.0,19839.0
State,2020/01/01,26.0,MI,,,2581216.0,7414699.0,27122013.0,6513170.0,6869041.0,3439940.0,4284934.0,3989054.0,1265360.0,449890.0,229220.0,54194.0,27210.0
State,2020/01/01,27.0,MN,,,1404817.0,4206362.0,14755101.0,3506845.0,3569223.0,1719225.0,2211871.0,2350665.0,842217.0,332807.0,174267.0,28532.0,19449.0
State,2020/01/01,28.0,MS,,,603252.0,2383278.0,7629798.0,1695735.0,1933600.0,960289.0,1221867.0,1117774.0,396415.0,183224.0,93571.0,22897.0,4426.0
State,2020/01/01,29.0,MO,,,1572946.0,4553506.0,16741329.0,3902542.0,4326717.0,2040936.0,2622531.0,2512418.0,843544.0,275993.0,163617.0,37080.0,15951.0
State,2020/01/01,30.0,MT,,,298689.0,763616.0,2760108.0,762429.0,772569.0,319974.0,358785.0,302959.0,123391.0,74389.0,33519.0,6816.0,5277.0
State,2020/01/01,31.0,NE,,,486964.0,1442304.0,5177140.0,1224575.0,1454333.0,655681.0,764327.0,642129.0,223996.0,129577.0,63807.0,13674.0,5041.0
State,2020/01/01,32.0,NV,,,745096.0,2289296.0,8779430.0,2410333.0,2227552.0,1110821.0,1455794.0,1160111.0,223738.0,101985.0,65812.0,15222.0,8062.0
State,2020/01/01,34.0,NJ,,,2418371.0,6490149.0,26177712.0,6971476.0,6831290.0,3144976.0,3831329.0,3564117.0,1184940.0,446490.0,148576.0,31803.0,22715.0
State,2020/01/01,35.0,NM,,,513665.0,1581763.0,6975349.0,1792778.0,1903834.0,890778.0,1024431.0,785739.0,297671.0,171093.0,84317.0,19909.0,4799.0
State,2020/01/01,36.0,NY,,,6022970.0,13519239.0,62637877.0,17727883.0,15771733.0,7733873.0,9525341.0,8375595.0,2263612.0,785222.0,331764.0,61790.0,61064.0
State,2020/01/01,37.0,NC,,,2377973.0,8005647.0,31116071.0,6847643.0,8062518.0,4104986.0,5203926.0,4591061.0,1404189.0,529406.0,286703.0,62089.0,23550.0
State,2020/01/01,38.0,ND,,,190634.0,569443.0,1941194.0,473380.0,562805.0,262473.0,253456.0,193937.0,88165.0,67292.0,31028.0,6306.0,2352.0
State,2020/01/01,39.0,OH,,,3042597.0,8646845.0,31965759.0,7725521.0,8187845.0,4033456.0,5179723.0,4750981.0,1331324.0,466435.0,213681.0,51031.0,25762.0
State,2020/01/01,40.0,OK,,,954575.0,2988504.0,10498369.0,2460618.0,2705386.0,1287218.0,1628362.0,1594426.0,496386.0,204506.0,95231.0,19371.0,6865.0
State,2020/01/01,41.0,OR,,,1128032.0,3062681.0,12509979.0,3551942.0,3479907.0,1554184.0,1625145.0,1518743.0,476198.0,212649.0,63618.0,14545.0,13048.0
State,2020/01/01,42.0,PA,,,3419722.0,9387338.0,34008598.0,8583300.0,8747056.0,4325005.0,5378533.0,4705521.0,1365309.0,559675.0,282196.0,41237.0,20766.0
State,2020/01/01,44.0,RI,,,264882.0,792433.0,3042909.0,774359.0,820500.0,387285.0,467702.0,415487.0,129393.0,32177.0,10507.0,3082.0,2417.0
State,2020/01/01,45.0,SC,,,1128855.0,3955272.0,14424687.0,3203085.0,3674527.0,1898921.0,2411077.0,2178981.0,650553.0,233319.0,133588.0,28456.0,12180.0
State,2020/01/01,46.0,SD,,,213960.0,668275.0,2446698.0,593907.0,659735.0,299093.0,342355.0,300264.0,133775.0,72848.0,34936.0,7267.0,2518.0
State,2020/01/01,47.0,TN,,,1568027.0,5201983.0,19044457.0,4208905.0,4805592.0,2436002.0,3125824.0,2990463.0,908179.0,326859.0,176003.0,50388.0,16242.0
State,2020/01/01,48.0,TX,,,6335916.0,22365929.0,71589722.0,16800177.0,18433482.0,8930293.0,11136915.0,10477556.0,3489531.0,1317465.0,738342.0,183978.0,81983.0
State,2020/01/01,49.0,UT,,,829707.0,2331398.0,9390446.0,2312283.0,2586547.0,1232697.0,1388775.0,1154534.0,411276.0,149229.0,116796.0,25000.0,13309.0
State,2020/01/01,50.0,VT,,,168942.0,457357.0,1879218.0,407837.0,491242.0,253258.0,277523.0,296490.0,106801.0,32241.0,10899.0,1775.0,1152.0
State,2020/01/01,51.0,VA,,,2039196.0,6478489.0,25522612.0,6264548.0,6419458.0,3260308.0,4016041.0,3673606.0,1173743.0,423739.0,218636.0,50974.0,21559.0
State,2020/01/01,53.0,WA,,,1913955.0,5621636.0,21533978.0,5758221.0,5764392.0,2599921.0,3170021.0,2870457.0,891269.0,311828.0,118807.0,20057.0,29005.0
State,2020/01/01,54.0,WV,,,496313.0,1309519.0,4813228.0,1074354.0,1241995.0,634485.0,770771.0,702032.0,241934.0,95433.0,42235.0,8035.0,1954.0
State,2020/01/01,55.0,WI,,,1445531.0,4368037.0,15352627.0,3431368.0,3919529.0,1982403.0,2410964.0,2236498.0,813367.0,341480.0,172693.0,30804.0,13521.0
State,2020/01/01,56.0,WY,,,161420.0,416317.0,1748087.0,453844.0,512721.0,225537.0,187798.0,158592.0,105917.0,67365.0,30677.0,3880.0,1756.0
State,2020/01/01,5.0,AR,,,663585.0,2350240.0,7600313.0,1693506.0,1988301.0,994088.0,1206354.0,1064662.0,382834.0,169161.0,77973.0,18823.0,4611.0
State,2020/01/01,1.0,AL,,,1056511.0,3831360.0,12309493.0,2610325.0,3095279.0,1696677.0,2060354.0,1835549.0,601123.0,249195.0,122219.0,31548.0,7224.0
State,2020/01/01,2.0,AK,,,205065.0,532373.0,2085878.0,596691.0,601890.0,269613.0,294560.0,197299.0,82589.0,27159.0,8737.0,2686.0,4654.0
State,2020/01/01,4.0,AZ,,,1779468.0,5392178.0,19230738.0,4925275.0,4897888.0,2391188.0,2878995.0,2741644.0,822153.0,316578.0,198713.0,34693.0,23611.0
State,2020/01/02,12.0,FL,,,3746345.0,17552980.0,73243692.0,18707250.0,18339612.0,9418927.0,11671977.0,10504334.0,3101616.0,909146.0,418322.0,106741.0,65767.0
State,2020/01/02,13.0,GA,,,2076645.0,8442830.0,34456826.0,7584928.0,8229250.0,4242714.0,5539314.0,5592910.0,2165965.0,649151.0,335052.0,86917.0,30625.0
State,2020/01/02,15.0,HI,,,270447.0,1150044.0,5010466.0,1483665.0,1285368.0,592220.0,715519.0,802527.0,98063.0,21616.0,6940.0,2390.0,2158.0
State,2020/01/02,16.0,ID,,,356113.0,1398095.0,5837434.0,1438453.0,1584005.0,725019.0,863119.0,784323.0,275089.0,105332.0,49753.0,8999.0,3342.0
State,2020/01/02,17.0,IL,,,2731233.0,10009847.0,48193853.0,12418604.0,11888345.0,5765624.0,7260713.0,7305680.0,2571281.0,605611.0,277533.0,66153.0,34309.0
State,2020/01/02,18.0,IN,,,1360989.0,5330889.0,24250171.0,5729123.0,6019699.0,3007161.0,3765338.0,3783067.0,1319122.0,418753.0,158509.0,35094.0,14305.0
State,2020/01/02,19.0,IA,,,644435.0,2511710.0,11441934.0,2791171.0,3034070.0,1346735.0,1585454.0,1673635.0,648686.0,243059.0,97653.0,16182.0,5289.0
State,2020/01/02,20.0,KS,,,612187.0,2299318.0,10386675.0,2597940.0,2729457.0,1241746.0,1474465.0,1448581.0,549824.0,211273.0,101393.0,24394.0,7602.0
State,2020/01/02,21.0,KY,,,898456.0,3569946.0,17093413.0,3791989.0,4305893.0,2236350.0,2704772.0,2660996.0,924687.0,313246.0,128659.0,20414.0,6407.0
State,2020/01/02,22.0,LA,,,889992.0,3769986.0,16161043.0,3886404.0,4059259.0,2056377.0,2605865.0,2261951.0,791442.0,338458.0,129961.0,23541.0,7785.0
State,2020/01/02,23.0,ME,,,286964.0,1051440.0,4801390.0,1031974.0,1186992.0,588413.0,728170.0,817466.0,330153.0,90613.0,23098.0,2590.0,1921.0
State,2020/01/02,24.0,MD,,,1191492.0,4851226.0,22206248.0,5585295.0,5144058.0,2573486.0,3516068.0,3742745.0,1251251.0,278900.0,84176.0,18408.0,11861.0
State,2020/01/02,25.0,MA,,,1505463.0,5396686.0,30823756.0,7961858.0,7928441.0,3761603.0,4576336.0,4712597.0,1503485.0,298895.0,55961.0,10905.0,13675.0
State,2020/01/02,26.0,MI,,,2034563.0,7961352.0,35348639.0,8408020.0,8459217.0,4270909.0,5588908.0,5818866.0,1964985.0,570488.0,200383.0,48074.0,18789.0
State,2020/01/02,27.0,MN,,,1089375.0,4521804.0,19192986.0,4553753.0,4526540.0,2150651.0,2854608.0,3370195.0,1172742.0,369127.0,153503.0,25504.0,16363.0
State,2020/01/02,28.0,MS,,,523781.0,2462749.0,8759967.0,1938169.0,2221777.0,1050401.0,1340527.0,1334048.0,538002.0,215377.0,95867.0,22229.0,3570.0
State,2020/01/02,29.0,MO,,,1297242.0,4829210.0,20707799.0,4858195.0,5094198.0,2425318.0,3151104.0,3394550.0,1210749.0,357085.0,170734.0,33500.0,12366.0
State,2020/01/02,30.0,MT,,,247175.0,815130.0,3574272.0,1012064.0,1011861.0,431646.0,448318.0,367154.0,172642.0,86577.0,35605.0,4794.0,3611.0
